 k   z[k]  dz[k] hz[k]  
    1    2.5011 _o_     5.0101
     1 ====    5.0101 ==== 
    2    7.5112 _o_     5.0176
     2 ====    4.7750 ==== 
    3   12.2862 _o_     4.5361
     3 ====    2.4014 ==== 
    4   14.6876 _o_     0.2667
     4 ====    0.2000 ==== 
    5   14.8876 _o_     0.1333
     5 ====    0.1000 ==== 
    6   14.9876 _o_     0.0667
     6 ====    0.0495 ==== 
    7   15.0371 _o_     0.0323
     7 ====    0.0167 ==== 
    8   15.0537 _o_     0.0010
     8 ====    0.0010 ==== 
    9   15.0547 _o_     0.0010
     9 ====    0.0015 ==== 
   10   15.0562 _o_     0.0020
    10 ====    0.0030 ==== 
   11   15.0592 _o_     0.0040
    11 ====    0.0060 ==== 
   12   15.0652 _o_     0.0080
    12 ====    0.0120 ==== 
   13   15.0772 _o_     0.0160
    13 ====    0.0180 ==== 
   14   15.0952 _o_     0.0200
    14 ====    0.0200 ==== 
   15   15.1152 _o_     0.0200
    15 ====    0.0200 ==== 
   16   15.1352 _o_     0.0200
    16 ====    0.0200 ==== 
   17   15.1552 _o_     0.0200
    17 ====    0.0200 ==== 
   18   15.1752 _o_     0.0200
    18 ====    0.0200 ==== 
   19   15.1952 _o_     0.0200
    19 ====    0.0200 ==== 
   20   15.2152 _o_     0.0200
    20 ====    0.0000 ==== 
