 i_day:       0 model_year:   1; julianday:   1; dVV(k_bbl_sed):0.247E-11; w_sed_bl(cm/yr):0.221E-01; w_sed_inj(cm/yr):0.221E-01;sink_of_POML:0.583E-08
 i_day:       1 model_year:   1; julianday:   2; dVV(k_bbl_sed):0.238E-09; w_sed_bl(cm/yr):0.596E-01; w_sed_inj(cm/yr):0.596E-01;sink_of_POML:0.442E-03
 i_day:       2 model_year:   1; julianday:   3; dVV(k_bbl_sed):0.421E-09; w_sed_bl(cm/yr):0.884E-01; w_sed_inj(cm/yr):0.884E-01;sink_of_POML:0.181E-02
 i_day:       3 model_year:   1; julianday:   4; dVV(k_bbl_sed):0.588E-09; w_sed_bl(cm/yr):0.115E+00; w_sed_inj(cm/yr):0.115E+00;sink_of_POML:0.349E-02
 i_day:       4 model_year:   1; julianday:   5; dVV(k_bbl_sed):0.738E-09; w_sed_bl(cm/yr):0.138E+00; w_sed_inj(cm/yr):0.138E+00;sink_of_POML:0.519E-02
 i_day:       5 model_year:   1; julianday:   6; dVV(k_bbl_sed):0.871E-09; w_sed_bl(cm/yr):0.159E+00; w_sed_inj(cm/yr):0.159E+00;sink_of_POML:0.681E-02
 i_day:       6 model_year:   1; julianday:   7; dVV(k_bbl_sed):0.989E-09; w_sed_bl(cm/yr):0.178E+00; w_sed_inj(cm/yr):0.178E+00;sink_of_POML:0.832E-02
 i_day:       7 model_year:   1; julianday:   8; dVV(k_bbl_sed):0.109E-08; w_sed_bl(cm/yr):0.194E+00; w_sed_inj(cm/yr):0.194E+00;sink_of_POML:0.971E-02
 i_day:       8 model_year:   1; julianday:   9; dVV(k_bbl_sed):0.119E-08; w_sed_bl(cm/yr):0.209E+00; w_sed_inj(cm/yr):0.209E+00;sink_of_POML:0.110E-01
 i_day:       9 model_year:   1; julianday:  10; dVV(k_bbl_sed):0.127E-08; w_sed_bl(cm/yr):0.223E+00; w_sed_inj(cm/yr):0.223E+00;sink_of_POML:0.122E-01
 i_day:      10 model_year:   1; julianday:  11; dVV(k_bbl_sed):0.135E-08; w_sed_bl(cm/yr):0.234E+00; w_sed_inj(cm/yr):0.234E+00;sink_of_POML:0.132E-01
 i_day:      11 model_year:   1; julianday:  12; dVV(k_bbl_sed):0.142E-08; w_sed_bl(cm/yr):0.245E+00; w_sed_inj(cm/yr):0.245E+00;sink_of_POML:0.142E-01
 i_day:      12 model_year:   1; julianday:  13; dVV(k_bbl_sed):0.148E-08; w_sed_bl(cm/yr):0.255E+00; w_sed_inj(cm/yr):0.255E+00;sink_of_POML:0.151E-01
